,product url,ranking,brand,product name,number of ratings,size,star rating,price(in sek),color,date first available
0,https://www.amazon.se/Super-Sparrow-Vattenflaska-St%C3%A5lvattenflaska-Sportflaska/dp/B07RPMP1ZX/ref=zg_bs_g_sports_sccl_1/261-1754755-2231259?psc=1,#1,Super Sparrow,Super Sparrow Vattenflaska - Rostfritt Stålvattenflaska - Dubbelvägg - Standard Mun - Giftfri BPA-Fri - Perfekt Som Sportflaska - 2 Lock,50 466,Size data not available,,Price data not available,Glasera,Date first available data not available
1,https://www.amazon.se/Waboba-Flyer-gummitoppel-mintgr%C3%B6n-orange/dp/B088KMH96Q/ref=zg_bs_g_sports_sccl_2/261-1754755-2231259?psc=1,#2,Waboba,"Waboba Flyer mjuk gummitoppel, mintgrön/orange",457,Size data not available,,Price data not available,Mintgrön/orange,Date first available data not available
2,https://www.amazon.se/Apple-MX542DN-A-AirTag-4-pack/dp/B0B2PZ994V/ref=zg_bs_g_sports_sccl_3/261-1754755-2231259?psc=1,#3,Apple,Apple AirTag 4-pack ​​​​​​​,143,Size data not available,"4,6",Price data not available,vit,Date first available data not available
3,https://www.amazon.se/Vattenflaska-Rostfritt-Isolerad-L%C3%A4ckages%C3%A4ker-Vakuumisolerade/dp/B0828YS3J6/ref=zg_bs_g_sports_sccl_4/261-1754755-2231259?psc=1,#4,BeMaxx,"Vattenflaska i Rostfritt Stål, Isolerad ACTIVE FLASK + 3 Drycker Lock och Sugrör, Läckagesäker & BPA-fri | Vakuumisolerade - 12h Varm/24h Kall | Termos Dricksflaska Thermoflaska Sport Camping Gym",5 179,Size data not available,,Price data not available,Wild Red,Date first available data not available
4,https://www.amazon.se/UNIDEAL-ballongpump-halvautomatiskt-dubbelmunstycke-festivaldekoration/dp/B09T9ZNTM5/ref=zg_bs_g_sports_sccl_5/261-1754755-2231259?psc=1,#5,UNIDEAL,"UNIDEAL Elektrisk ballongpump, 600W Ballongpump med automatiskt och halvautomatiskt läge, bärbart dubbelmunstycke ballongpump för fest, bröllop, födelsedag och festivaldekoration",645,Size data not available,,Price data not available,multi,Date first available data not available
5,https://www.amazon.se/Motst%C3%A5ndsband-Band-Motst%C3%A5ndsniv%C3%A5er-Bok-F%C3%B6rvaringsfodral/dp/B016A9IUWY/ref=zg_bs_g_sports_sccl_6/261-1754755-2231259?psc=1,#6,Panathletic,"Motståndsband, Set med 5 Band - 5 Motståndsnivåer, Träningsguide, E-Bok, Förvaringsfodral – 5 st. elastiska fitnessband, hemträningsband, gummiband, träningsband",17 560,Size data not available,,Price data not available,Color not available,Date first available data not available
6,https://www.amazon.se/Myforest-drickflaska-tidsmarkeringar-vattenflaska-kolsyrade/dp/B09NFQG1VV/ref=zg_bs_g_sports_sccl_7/261-1754755-2231259?psc=1,#7,MYFOREST,"Myforest BPA-fri drickflaska på 1 liter, med sugrör och tidsmarkeringar, 1 000 ml vattenflaska för cykel, camping, yoga, gym, barn, lämplig för kolsyrade drycker",2 485,Size data not available,,Price data not available,Rosa/blå,Date first available data not available
7,https://www.amazon.se/FitBeast-Handgrepp-st%C3%A4rkare-underarmsgrepp-tr%C3%A4ningssats/dp/B07BXDN3HH/ref=zg_bs_g_sports_sccl_8/261-1754755-2231259?psc=1,#8,FitBeast,"FitBeast Handgrepp stärkare handledsgrepp träningsset – 5-pack, justerbar greppstyrketränare (10–60 kg), greppboll, ringgreppövning, fingertränare och fingersträckare för idrottare och musiker",9 656,Size data not available,,Price data not available,Svart,Date first available data not available
8,https://www.amazon.se/Blukar-Snabbhopprep-Trasselfritt-Skumhandtag-Fitnesstr%C3%A4ning/dp/B08CRVG7BB/ref=zg_bs_g_sports_sccl_9/261-1754755-2231259?psc=1,#9,Blukar,"Blukar Hopprep, snabbhopprep, trasselfritt och justerbart rep med snabba kullager och mjukt skumhandtag för fitnessträning, fettförbränningsövningar och boxning – reservrep och längdjusterare ingår",17 514,Size data not available,,Price data not available,svart-röd,Date first available data not available
9,https://www.amazon.se/Proteinshaker-FYRA-beh%C3%A5llare-BCCA-skakningar-dietsportskoncentrat/dp/B07F1Y9YY4/ref=zg_bs_g_sports_sccl_10/261-1754755-2231259?psc=1,#10,AMITYUNION,"Proteinshaker FYRA 700 ml med behållare - pulverfack - protein shaker, BPA-fri med sikt och skal för vassle och BCCA-skakningar, gym fitness cup för isolat och dietsportskoncentrat",5 057,Size data not available,,Price data not available,Vit,Date first available data not available
10,https://www.amazon.se/Victorinox-1340500-kombinationsblad-kulspetspenna-multifunktionskrok/dp/B0001P14X6/ref=zg_bs_g_sports_sccl_11/261-1754755-2231259?psc=1,#11,Victorinox,"Victorinox 1340500 fickkniv Compact (15 funktioner, kombinationsblad, kulspetspenna, sax, multifunktionskrok) röd",809,Size data not available,,Price data not available,Röd,Date first available data not available
11,https://www.amazon.se/Super-Sparrow-Sport-Vattenflaska-Co-polyesterplast/dp/B07BT8KFC5/ref=zg_bs_g_sports_sccl_12/261-1754755-2231259?psc=1,#12,Super Sparrow,"Super Sparrow Sport Vattenflaska - 1000ml - Giftfri BPA-Fri och Miljövänlig Tritan Co-polyesterplast - för Löpning, Gym, Yoga, Utomhus och Camping",36 439,Size data not available,,Price data not available,Transparent- Grå,Date first available data not available
12,https://www.amazon.se/TREKOLOGY-Ultral%C3%A4tta-uppbl%C3%A5sbara-rese-campingkuddar/dp/B07MG5YCHJ/ref=zg_bs_g_sports_sccl_13/261-1754755-2231259?psc=1,#13,TREKOLOGY,"TREKOLOGY Ultralätta och uppblåsbara rese/campingkuddar – komprimerbara, kompakta, uppblåsbara, bekväma, ergonomiska kuddar för nack- och ländryggsstöd, och en god natts sömn medan du campar, eller backpackar Aluft 2.0 (svart) En storlek",6 034,Size data not available,,Price data not available,svart,Date first available data not available
13,https://www.amazon.se/USWE-Vandringsryggs%C3%A4ck-Skidryggs%C3%A4ck-Vattent%C3%A4t-Ryggs%C3%A4ck/dp/B08QDLT33Z/ref=zg_bs_g_sports_sccl_14/261-1754755-2231259?psc=1,#14,USWE,"USWE Hajker 30L, Vandringsryggsäck, Skidryggsäck, Vattentät Rolltop Ryggsäck för Vinter: Snowboard, MTB, Cykel, Vandring, för män och kvinnor. Isolerad vätskeryggsäck med Thermo Cell. Bounce Free. Svart.",22,Size data not available,,Price data not available,Carbon Black,Date first available data not available
14,https://www.amazon.se/Sporthandduken-Strandhandduk-Resehandduk-Mikrofiber-Resebadlakan/dp/B0B945VBJJ/ref=zg_bs_g_sports_sccl_15/261-1754755-2231259?psc=1,#15,Fit-Flip,"Sporthandduken, XXL Strandhandduk, Resehandduk, Mikrofiber handdukar, Resebadlakan (70x140cm marinblå)",24 080,Size data not available,,Price data not available,Marinblå,Date first available data not available
15,https://www.amazon.se/Mikrofiberhanddukar-ultral%C3%A4tt-kompakt-snabbtorkande-Mikrofiberhandduk/dp/B0BB2GY245/ref=zg_bs_g_sports_sccl_16/261-1754755-2231259?psc=1,#16,Fit-Flip,"Mikrofiberhanddukar ultralätt, kompakt och snabbtorkande - Mikrofiberhandduk - den perfekta sporthandduken, strandhandduk och resehandduk (140x70cm - 1 Styck - Lilac)",2,Size data not available,,Price data not available,Lilac,Date first available data not available
16,https://www.amazon.se/Cykelventil-ventiladapter-set-uppbl%C3%A5snings-n%C3%A5lar-bollpumpar-cykelpumpar/dp/B07V2X8C7Q/ref=zg_bs_g_sports_sccl_17/261-1754755-2231259?psc=1,#17,SZSHIMAO,"Szshimao Cykelventil adapter, alla AV, DV, SV, cykel ventiladapter-set, uppblåsnings-nålar, sport bollpumpar, nålar, set för alla cykelpumpar, luftpump, bollpump, basket, fotboll",5 870,Size data not available,,Price data not available,pump adapters,Date first available data not available
17,https://www.amazon.se/Vicloon-fiskedrag-inklusive-trippelkrokar-fiskel%C3%A5da/dp/B0716SR6RF/ref=zg_bs_g_sports_sccl_18/261-1754755-2231259?psc=1,#18,Vicloon,"Vicloon 120 st blandade fiskedrag, inklusive spinnare, VIB, trippelkrokar, enkla krokar, svängbara, tänger och fiskelåda.",14,Size data not available,,Price data not available,Color not available,Date first available data not available
18,https://www.amazon.se/VAUDE-103-Tv%C3%A4ttmedel-Nikwax-Direct/dp/B000PGOOIS/ref=zg_bs_g_sports_sccl_19/261-1754755-2231259?psc=1,#19,VAUDE,"VAUDE 103 Tvättmedel Nikwax Tech Wash TX Direct VPE6, 2 x 300 ml",8,Size data not available,,Price data not available,Color not available,Date first available data not available
19,https://www.amazon.se/Limmys-premium-neopren-badv%C3%A4st-barn/dp/B08G89Y483/ref=zg_bs_g_sports_sccl_20/261-1754755-2231259?psc=1,#20,Limmys,Limmys premium neopren badväst för barn - Perfekt flytande simhjälpmedel för pojkar och flickor - Bonus påse med snörning ingår,8 886,Size data not available,,Price data not available,Blått och gult,Date first available data not available
20,https://www.amazon.se/Naturehike-Cloud-up-Uppgradera-Ultral%C3%A4tta-Vandring/dp/B07HTB2129/ref=zg_bs_g_sports_sccl_21/261-1754755-2231259?psc=1,#21,Naturehike,Naturehike Cloud-up 2 Uppgradera Ultralätta Tält Dubbel 2 Person Tält 3-4 Säsong för Camping Vandring,1 072,Size data not available,,Price data not available,210T Grön Uppgradera,Date first available data not available
