,product url,ranking,brand,product name,number of ratings,size,star rating,price(in sek),color,date first available
0,https://www.amazon.se/Pampers-Sensitive-V%C3%A5tservetter-Kanslig-Babyhud/dp/B07P7KJ1QS/ref=zg_bs_g_baby_sccl_1/260-7961230-0346043?psc=1,#1,Pampers,"Pampers - Sensitive Våtservetter, för Kanslig Babyhud - 1200 Bitar",17 023,Size data not available,,"285,",Color not available,Date first available data not available
1,https://www.amazon.se/WaterWipes-babyv%C3%A5tservetter-f%C3%B6rpackningar-vattenbaserade-v%C3%A5tservetter/dp/B08MXSBRSB/ref=zg_bs_g_baby_sccl_2/260-7961230-0346043?psc=1,#2,WaterWipes,"WaterWipes original plastfria babyvåtservetter, 720 st. (12 förpackningar), 99,9 % vattenbaserade våtservetter, oparfymerade för känslig hud",8 975,Size data not available,,"407,",Color not available,Date first available data not available
2,https://www.amazon.se/haakaa-nageltrimmer-nagelklippare-trimpolering-fingernaglar/dp/B08H22JLBV/ref=zg_bs_g_baby_sccl_3/260-7961230-0346043?psc=1,#3,haakaa,"haakaa Electric Baby Nail Clipper, Baby Nail File Set Med 6 Sliphuvud Och LED-Ljus för Nyfödda, Småbarn Eller Vuxna, Rosa",9 673,Size data not available,,"192,",Color not available,Date first available data not available
3,https://www.amazon.se/reer-70533-Regnskydd-Genomskinlig-Storlek/dp/B000R58FNW/ref=zg_bs_g_baby_sccl_4/260-7961230-0346043?psc=1,#4,reer,"reer 70533 Regnskydd, Genomskinlig, En Storlek",5 519,Size data not available,,"84,",Genomskinlig,Date first available data not available
4,https://www.amazon.se/Playgro-Barnvagnskedja-delar-m%C3%A5nader-f%C3%A4rgglad/dp/B00XKHPOJW/ref=zg_bs_g_baby_sccl_5/260-7961230-0346043?psc=1,#5,Playgro,"Playgro Barnvagnskedja med 24 delar, för barn över 3 månader, Loopy Links, färgglad, 40134",1 048,Size data not available,,"99,",multi,Date first available data not available
5,https://www.amazon.se/ECHOCUBE-pedagogiska-spinnande-sensoriska-f%C3%B6delsedagspresent/dp/B09TKMLPXB/ref=zg_bs_g_baby_sccl_6/260-7961230-0346043?psc=1,#6,ECHOCUBE,"ECHOCUBE Sugkopp Spinner Leksake, 3 Pcs pedagogiska spinnande sensoriska leksaker födelsedagspresent, Fifget sugleksak för bebisar, pojkar och flickor",62,Size data not available,,"179,",Flerfärgad,Date first available data not available
6,https://www.amazon.se/Philips-br%C3%B6stkuddar-modell-SCF254-61/dp/B0788CC2Y1/ref=zg_bs_g_baby_sccl_7/260-7961230-0346043?psc=1,#7,PHILIPS,Philips Avent bröstkuddar (modell SCF254/61),43,Size data not available,,"55,",Vit,Date first available data not available
7,https://www.amazon.se/Philips-Avent-Natural-Response-flasknapp-nyf%C3%B6dda/dp/B0BWFMMPPC/ref=zg_bs_g_baby_sccl_8/260-7961230-0346043?psc=1,#8,PHILIPS,"Philips Avent Natural Response-flasknapp – 2 x nappar med flöde 1 för nyfödda, 0 månader, BPA-fri (modell SCY961/02)",348,Size data not available,,"73,",Color not available,Date first available data not available
8,https://www.amazon.se/RUVALINO-sk%C3%B6tryggs%C3%A4ck-multifunktionell-vattent%C3%A4ta-formaldehyd/dp/B0B7WFLNZ2/ref=zg_bs_g_baby_sccl_9/260-7961230-0346043?psc=1,#9,RUVALINO,"RUVALINO Baby skötryggsäck, multifunktionell skötväska resa ryggsäck stor kapacitet babyväska, vattentäta tyger, ingen formaldehyd, passar barnvagnar, svart",18 005,Size data not available,,"449,",svart 04,Date first available data not available
9,https://www.amazon.se/Philips-Avent-sugr%C3%B6rsmugg-modell-SCF798/dp/B01MRDMG1T/ref=zg_bs_g_baby_sccl_10/260-7961230-0346043?psc=1,#10,Philips,Philips Avent sugrörsmugg (modell SCF798/01),3 762,Size data not available,,"82,",Violett/grön,Date first available data not available
10,https://www.amazon.se/Sovp%C3%A5se-f%C3%B6r-Bebis-Inlindningsfiltar-inlindning/dp/B084ZQF27Y/ref=zg_bs_g_baby_sccl_11/260-7961230-0346043?psc=1,#11,Juicy Bumbles,Sovpåse för Bebis - 3-pack Swaddle Wrap Inlindningsfiltar - 3 Swaddle Filtar för inlindning 100% Bomull,5 108,Size data not available,,"287,",Stjärnor och moln,Date first available data not available
11,https://www.amazon.se/Onco-Babyspegel-backspegel-biltillbeh%C3%B6r-MadeForMums/dp/B01FCMV5RM/ref=zg_bs_g_baby_sccl_12/260-7961230-0346043?psc=1,#12,Onco,Onco Babyspegel - 100% krossad backspegel för baksätet - Kör säkert och övervaka ditt barn - Viktiga biltillbehör för nya föräldrar - Vinnare av MadeForMums Awards,21 912,Size data not available,,"182,",svart,Date first available data not available
12,https://www.amazon.se/Hoffenbach-Barns%C3%A4kerhet-12-vidh%C3%A4ftningsstyrka-garderob/dp/B072PPT9V3/ref=zg_bs_g_baby_sccl_13/260-7961230-0346043?psc=1,#13,Brand data not available,"Hoffenbach Barnsäkerhet (12 + 3) med dubbel vidhäftningsstyrka, för garderob och lådor.",827,Size data not available,,"264,",Color not available,Date first available data not available
13,https://www.amazon.se/Korbell-T-KOR-250DR3B-Ers%C3%A4ttningsfack-Bl%C3%B6jkorg-liter/dp/B00KAV6HII/ref=zg_bs_g_baby_sccl_14/260-7961230-0346043?psc=1,#14,Korbell,"Korbell T-KOR-250DR3B Ersättningsfack för Blöjkorg, Grön, 16 liter",1 557,Size data not available,,Price data not available,Grön,Date first available data not available
14,https://www.amazon.se/Philips-Avent-Ultra-Nattnapp-Sterliseringsbox/dp/B07SR5MFR2/ref=zg_bs_g_baby_sccl_15/260-7961230-0346043?psc=1,#15,PHILIPS,Philips Avent Ultra Air Nattnapp - Lätt napp som andas - För känslig hud - Sterliseringsbox medföljer - Ortodontiska - BPA fria - 2-pack - Lämplig från 6-18 m - Blå - SCF376/21,866,Size data not available,,"59,",Blå/Grå,Date first available data not available
15,https://www.amazon.se/NUK-10256342-Pulver-Skopa-Transparent/dp/B00E4T3R9Y/ref=zg_bs_g_baby_sccl_16/260-7961230-0346043?psc=1,#16,NUK,"NUK 10256342 Pulver Skopa, Transparent, Blå",11 024,Size data not available,,"67,",Color not available,Date first available data not available
16,https://www.amazon.se/H%C3%B6rnskydd-kantskydd-baby-barns%C3%A4kring-sj%C3%A4lvh%C3%A4ftande/dp/B0933B1NKB/ref=zg_bs_g_baby_sccl_17/260-7961230-0346043?psc=1,#17,Hoffenbach,Hörnskydd kantskydd baby 12 x – barnsäkring för bord självhäftande – stötsäkert skydd för baby och barn – i vit/svart/brun – Original Hoffenbach... (svart),873,Size data not available,,"91,",Svart,Date first available data not available
17,https://www.amazon.se/BabyDan-57314-2400-06-75-Multidan-Utdragbar-S%C3%A4kerhetsgrind/dp/B008MVF5WW/ref=zg_bs_g_baby_sccl_18/260-7961230-0346043?psc=1,#18,BabyDan,"BabyDan 57314-2400-06-75 Multidan Utdragbar Säkerhetsgrind för Barn, Vit, 62,5-106,8 cm, 1 st",6 106,Size data not available,,"379,",Vit,Date first available data not available
18,https://www.amazon.se/PandaEar-Toalettsits%C3%B6verdrag-toalettsits-silikondynor-%C3%85tervinningsbar/dp/B07TWJLSXQ/ref=zg_bs_g_baby_sccl_19/260-7961230-0346043?psc=1,#19,PandaEar,"PandaEar Toalettsitsöverdrag | Hopfällbar toalettsits för barn och potträning | Bärbar toalettsits i silikon för småbarn, pojkar och flickor med halkfria silikondynor | Återvinningsbar toalettsits",1 784,Size data not available,,"129,",Grön,Date first available data not available
19,https://www.amazon.se/barns%C3%A4kra-sj%C3%A4lvh%C3%A4ftande-installation-babys%C3%A4ker-s%C3%A4kerhetssk%C3%A5p/dp/B089W47ZVT/ref=zg_bs_g_baby_sccl_20/260-7961230-0346043?psc=1,#20,DIWUJI,"12 st barnsäkra skåplås, osynlig och olåst design, ingen borrning behövs, självhäftande, enkel installation, babysäker, säkerhetsskåp låser från insidan, för barn låda köksskåp spärrar (vita)",1 249,Size data not available,,"154,",Color not available,Date first available data not available
20,https://www.amazon.se/Alpine-Muffy-Baby-h%C3%B6rselskydd-h%C3%B6rselskador/dp/B07KCKWGSG/ref=zg_bs_g_baby_sccl_21/260-7961230-0346043?psc=1,#21,Alpine,Alpine Muffy Baby hörselskydd – hörselskydd för spädbarn och småbarn från 12 till 36 månader – bullerskydd förhindrar hörselskador – förbättrar sömnen på vägen – bekväm passform – svart,16 267,Size data not available,,"277,",Color not available,Date first available data not available
21,https://www.amazon.se/Tilcare-Chew-Sensory-Necklace-tugghalsband/dp/B07RJXT8BM/ref=zg_bs_g_baby_sccl_22/260-7961230-0346043?psc=1,#22,Tilcare Chew Chew,Tilcare Chew Chew Sensory Necklace - bäst för barn eller vuxna som gillar att bita eller har autism - perfekt texturerade silikon leksaker - tuggande hänge för pojkar och flickor - tugghalsband,1 607,Size data not available,,"162,",Color not available,Date first available data not available
22,https://www.amazon.se/URAQT-justerbara-lekhagar-l%C3%A4gesst%C3%A4llare-huvudh%C3%A5llare/dp/B01GYP3G4G/ref=zg_bs_g_baby_sccl_23/260-7961230-0346043?psc=1,#23,URAQT,"URAQT 2 st justerbara lekhagar, sömn lägesställare, barnvagn, barnstol, fäste, remmar, huvudhållare",5 473,Size data not available,,"79,",2st,Date first available data not available
23,https://www.amazon.se/Kiddo-Feedo-Portionsform-bok-prisbel%C3%B6nad/dp/B00T6ZGCAM/ref=zg_bs_g_baby_sccl_24/260-7961230-0346043?psc=1,#24,Kiddo Feedo,"Kiddo Feedo Portionsform - Frysform för barnmat, bröstmjölk, is, juice, såser m.m. Gratis e-bok av prisbelönad författare/dietist, Grå",6 548,Size data not available,,"159,",Grå,Date first available data not available
24,https://www.amazon.se/Kinderkraft-barnmatstol-ergonomisk-hopf%C3%A4llbar-dubbelbricka/dp/B07KXNSQ5V/ref=zg_bs_g_baby_sccl_25/260-7961230-0346043?psc=1,#25,kk Kinderkraft,"kk Kinderkraft Hög barnstol YUMMY, barnmatstol, ergonomisk, bekväm, lutning, hopfällbar, med justerbar höjd, fotstöd, avtagbar dubbelbricka, för småbarn, från 6 månader till 3 år, multikulör",9 263,Size data not available,,"982,",Flerfärgad,Date first available data not available
25,https://www.amazon.se/WhizProducts-dra-p%C3%A5-lakan-spj%C3%A4ls%C3%A4ng-integrerat-madrasskydd/dp/B08VHNRY91/ref=zg_bs_g_baby_sccl_26/260-7961230-0346043?psc=1,#26,WhizProducts,WhizProducts dra-på-lakan för spjälsäng med integrerat madrasskydd 60 x 120 cm (blå),22,Size data not available,,"195,",BLÅ,Date first available data not available
26,https://www.amazon.se/URAQT-Organizer-Storage-Waterproof-Structure/dp/B085XTBZF3/ref=zg_bs_g_baby_sccl_27/260-7961230-0346043?psc=1,#27,URAQT,"URAQT Car Trunk Organizer, Car Storage Bag, Car Trunk Bag, Waterproof Bags Car with Strong Elastic, Magic Wand Structure for SUV, Black",12 756,Size data not available,,"185,",Color not available,Date first available data not available
27,https://www.amazon.se/Vicloon-Time-spegelmatta-aktivitetsmatta-aktivitetsspegel-h%C3%B6gkontrastm%C3%B6nster/dp/B09DS8B5M5/ref=zg_bs_g_baby_sccl_28/260-7961230-0346043?psc=1,#28,Vicloon,"Vicloon Tummy Time-spegelmatta för lek på magen, svartvit aktivitetsmatta med spegel för baby, sensoriska leksaker, aktivitetsspegel, babyspegel, säker och vikbar lekmatta med högkontrastmönster, aktivitetsmatta för lek och klappar för nyfödda och spädbarn",453,Size data not available,,"110,",a,Date first available data not available
28,https://www.amazon.se/barns%C3%A4kringssk%C3%A5p-babys%C3%A4kerhet-barns%C3%A4kerhet-sk%C3%A5pd%C3%B6rr-garderob/dp/B0819CHT8S/ref=zg_bs_g_baby_sccl_29/260-7961230-0346043?psc=1,#29,TUSUNNY,"12 stycken barnsäkringsskåp, babysäkerhet skåplås, osynlig barnsäkerhet för skåp och lådor, för skåpdörr skåp lådor skåp garderob",398,Size data not available,,"118,",Color not available,Date first available data not available
29,https://www.amazon.se/Ryggst%C3%B6dsskydd-baks%C3%A4tesf%C3%B6rvaring-vattent%C3%A4tt-baks%C3%A4tesskydd-surfplatta/dp/B0868B817M/ref=zg_bs_g_baby_sccl_30/260-7961230-0346043?psc=1,#30,Warxin,"Ryggstödsskydd för bil, för barn, 2 styck, UIHOL baksätesförvaring för bil, stora fickor, 600D oxfordtyg, vattentätt, baksätesskydd med ficka för 12 tums iPad surfplatta, sparkskydd för bilstol",732,Size data not available,,"199,",Color not available,Date first available data not available
30,https://www.amazon.se/DIAGO-Dummy-box-nappf%C3%B6rvaring-rosa/dp/B012IHPPLQ/ref=zg_bs_g_baby_sccl_31/260-7961230-0346043?psc=1,#31,DIAGO,"DIAGO Dummy box nappförvaring, rosa",690,Size data not available,,"24,",ROSA,Date first available data not available
31,https://www.amazon.se/Philips-Avent-Nappflaska-Genomskinlig-Vit/dp/B07DMH6VDH/ref=zg_bs_g_baby_sccl_32/260-7961230-0346043?psc=1,#32,Philips,"Philips Avent Nappflaska, Genomskinlig/Vit, 2 x 260 ml",12 428,Size data not available,,"185,",Transparent,Date first available data not available
32,https://www.amazon.se/Vicloon-vattent%C3%A4ta-haklappar-tv%C3%A4ttbara-hantverk/dp/B08BHHNY22/ref=zg_bs_g_baby_sccl_33/260-7961230-0346043?psc=1,#33,Vicloon,"Vicloon Baby haklapp med långa ärmar, 4 stycken vattentäta haklappar, tvättbara haklappar med ärmar, unisex haklapp för målning lek mat konst hantverk målning, 4 mönster, lämplig för barn 6–36 månader",6 208,Size data not available,,"104,",multi,Date first available data not available
33,https://www.amazon.se/ElecMotive-%C3%A4rmhaklappar-vattent%C3%A4ta-babyhaklapp-matningskonst/dp/B07ZCPK23F/ref=zg_bs_g_baby_sccl_34/260-7961230-0346043?psc=1,#34,ElecMotive,ElecMotive 3 st ärmhaklappar vattentäta långärmade babyhaklapp för barn matningskonst hantverk målning förkläde framficka barn 9-36 månader,21,Size data not available,,"129,",Color not available,Date first available data not available
34,https://www.amazon.se/LIONSTRONG-Bils%C3%A4tesskydd-bils%C3%A4tesskydd-ISOFIX-kompatibel-svart/dp/B074XCPNXV/ref=zg_bs_g_baby_sccl_35/260-7961230-0346043?psc=1,#35,LIONSTRONG,LIONSTRONG - Bilsätesskydd för barn – bilsätesskydd – ISOFIX-kompatibel (svart),5 196,Size data not available,,"220,",Color not available,Date first available data not available
35,https://www.amazon.se/SURDOCA-Bilstol-arrang%C3%B6r-v%C3%A4rmeisoleringsfickor-barnleksaksf%C3%B6rvaring/dp/B08BHNC3KQ/ref=zg_bs_g_baby_sccl_36/260-7961230-0346043?psc=1,#36,SURDOCA,"SURDOCA Bilstol arrangör för barn 4:e generationen förbättrad bilorganiserare baksätet för 9,7 iPad, 9 fickor inkluderar 2 värmeisoleringsfickor, barnleksaksförvaring, vattentåligt baksätesskydd (svart, 2 st)",11 528,Size data not available,,"179,","svart, 2 st",Date first available data not available
36,https://www.amazon.se/Philips-babyv%C3%A5rdsset-modell-SCH400-00/dp/B00IEV9ZFI/ref=zg_bs_g_baby_sccl_37/260-7961230-0346043?psc=1,#37,PHILIPS,Philips Avent babyvårdsset (modell SCH400/00),19 219,Size data not available,,"291,",Flerfärgad,Date first available data not available
37,https://www.amazon.se/PandaEar-Silikon-tallrik-barnbordstallrik-sugkoppar/dp/B08GJDYCXH/ref=zg_bs_g_baby_sccl_38/260-7961230-0346043?psc=1,#38,PandaEar,PandaEar Silikon baby tallrik halkfri barnbordstallrik med sugkoppar – delad stabil babytallrik småbarn tallrik – BPA-fri – 3-pack – diskmaskins- och mikrovågsugnssäker – blå grön gul,1 912,Size data not available,,"179,",Color not available,Date first available data not available
38,https://www.amazon.se/Vicloon-barnhaklappar-vattent%C3%A4ta-%C3%A4rmhaklappar-haklappar/dp/B07L1LDCX4/ref=zg_bs_g_baby_sccl_39/260-7961230-0346043?psc=1,#39,Vicloon,"Vicloon Haklapp, 3 st vattentäta babyhaklappar med ärmar tecknat tryck långa ärmmagar, mat och lekande smock förkläde för barn i åldern",20,Size data not available,,"99,",4 st,Date first available data not available
39,https://www.amazon.se/Kidsme-Food-Feeder-6m-m%C3%A5n/dp/B00PDPSYM8/ref=zg_bs_g_baby_sccl_40/260-7961230-0346043?psc=1,#40,Kidsme,"Kidsme Food Feeder 6m+, 6 mån",141,Size data not available,,"76,",gRÖN,Date first available data not available
40,https://www.amazon.se/Tommee-Tippee-Simplee-Sangenic-P%C3%A5fyllning/dp/B00X590P30/ref=zg_bs_g_baby_sccl_41/260-7961230-0346043?psc=1,#41,TOMMEE TIPPEE,"Tommee Tippee Simplee Sangenic Påfyllning, Vit, Paket med 6",8 737,Size data not available,,"380,",Color not available,Date first available data not available
41,https://www.amazon.se/Bubblebum-BB0002-Bilbarnstol-Storlek-Svart/dp/B0092MB0O2/ref=zg_bs_g_baby_sccl_42/260-7961230-0346043?psc=1,#42,Bubblebum,"Bubblebum BB0002 Bilbarnstol, En Storlek, Svart",3 808,Size data not available,,"479,",Svart,Date first available data not available
42,https://www.amazon.se/Pottr%C3%A4ning-toalettstolar-avtagbart-%C3%A5teranv%C3%A4ndbart-st%C3%A4nkskydd/dp/B07Y1QKLQC/ref=zg_bs_g_baby_sccl_43/260-7961230-0346043?psc=1,#43,TYRY.HU,"Potträning, toalettstolar, 3-i-1, resa, potta, säte, tränare, bärbar, vikbar, WC, ringsäte, avtagbart, återanvändbart, foder, lämpligt för småbarn, pojkar, flickor, med stänkskydd, lätt att rengöra",2 413,Size data not available,,"360,",blå,Date first available data not available
43,https://www.amazon.se/BEARTOP-avl%C3%A4gsnande-kristallklar-barns%C3%A4kerhet-Tillfredsst%C3%A4llelsegaranti/dp/B082GF532W/ref=zg_bs_g_baby_sccl_44/260-7961230-0346043?psc=1,#44,BEARTOP,Hörnskydd från BEARTOP | starkt TESA-lim | skyddar spädbarn & äldre personer | för bord & möbler | avlägsnande utan rester | kristallklar & diskret | barnsäkerhet | Tillfredsställelsegaranti (3 år)*,2 472,Size data not available,,"82,",runt,Date first available data not available
44,https://www.amazon.se/Ubbi-10086-Sopp%C3%A5sar-Bl%C3%A5-Stycken/dp/B00ZT38BIQ/ref=zg_bs_g_baby_sccl_45/260-7961230-0346043?psc=1,#45,Ubbi,"Ubbi 10086 Soppåsar, Blå, 75 Stycken",11 975,Size data not available,,"246,",Blå,Date first available data not available
45,https://www.amazon.se/inlindning-nyf%C3%B6dda-bebisar-flickor-m%C3%A5nader/dp/B07TVRYDZL/ref=zg_bs_g_baby_sccl_46/260-7961230-0346043?psc=1,#46,Miracle Baby,"Filt för inlindning för nyfödda bebisar och flickor på 0–3 och 3–6 månader, sovsäck i 100 % bomull för nyfödd (gul, 0–3 månader)",2 229,Size data not available,,"129,",Yellow,Date first available data not available
46,https://www.amazon.se/NAIZY-Trappskydd-Utdragbart-Skyddsgaller-Utomhusbruk/dp/B09GTXNZHV/ref=zg_bs_g_baby_sccl_47/260-7961230-0346043?psc=1,#47,NAIZY,NAIZY Trappskydd Utdragbart 0-150 CM Dörr Skyddsgaller Rullgardin för Barn och Husdjur för Inomhus- och Utomhusbruk - Vit,291,Size data not available,,"599,",Vit,Date first available data not available
47,https://www.amazon.se/Philips-Avent-Natural-Response-nappflaska-nappflaskor/dp/B0BWFMKJVW/ref=zg_bs_g_baby_sccl_48/260-7961230-0346043?psc=1,#48,PHILIPS,"Philips Avent Natural Response-nappflaska – 2 x 260 ml nappflaskor för nyfödda och äldre, BPA-fri, 1+ månader (modell SCY903/02)",284,Size data not available,,"197,",Transparent,Date first available data not available
48,https://www.amazon.se/Sensalou-S%C3%A4ngmadrasskydd-madrasskydd-absorberande-inkontinensb%C3%A4gare/dp/B08L4XLNCN/ref=zg_bs_g_baby_sccl_49/260-7961230-0346043?psc=1,#49,Sensalou,"Sensalou Sängmadrasskydd – tvättbar madrasskydd för spädbarn och barn – andningsbar vattentät absorberande – skyddande inkontinensbägare, svettblod, 90 x 160 cm (2)",6 999,Size data not available,,"368,",Weiß,Date first available data not available
49,https://www.amazon.se/Pampers-Fresh-Clean-V%C3%A5tservetter-Bitar/dp/B07P5H4M8N/ref=zg_bs_g_baby_sccl_50/260-7961230-0346043?psc=1,#50,Pampers,Pampers - Fresh Clean Våtservetter - 1200 Bitar,13 749,Size data not available,,"279,",Vit,Date first available data not available
