,product url,ranking,brand,product name,number of ratings,size,star rating,price(in sek),color,date first available
0,https://www.amazon.se/Swiffer-Duster-Dammmagnet-Paket-Stycken/dp/B00P908MD8/ref=zg_bs_g_kitchen_sccl_1/258-3170600-8022730?psc=1,#1,Swiffer,"Swiffer Duster Dammmagnet, Paket med 20 Stycken",18 936,Paket med 20 Stycken,4.7,"125,",Blå,Date first available data not available
1,https://www.amazon.se/Nourished-Essentials-fermenteringssats-startsatsen-fermentera/dp/B0789QYV52/ref=zg_bs_g_kitchen_sccl_2/258-3170600-8022730?psc=1,#2,Nourished Essentials,"Nourished Essentials Easy Fermenter fermenteringssats med bred öppning, 3-pack (burkar ingår inte), gör surkål, kimchi, pickles, fermenterade grönsak",7 019,3 Wide Mouth Lids,& GRATIS leverans,"692,",Color not available,Date first available data not available
2,https://www.amazon.se/Philips-Noppborttagare-borttagning-Justerbar-AA-batterier/dp/B07M8J529S/ref=zg_bs_g_kitchen_sccl_3/258-3170600-8022730?psc=1,#3,PHILIPS,Philips Noppborttagare - Effektiv borttagning - Passar alla plagg - Täcker stor yta - Justerbar - 2 Philips AA-batterier ingår - Ger dina gamla plagg nytt liv på ett kick - GC026 / 80,235,Size data not available,4.5,"152,",Svart,Date first available data not available
3,https://www.amazon.se/Electrolux-E201SM-Dammsugarp%C3%A5sar-Performance-syntetmaterial/dp/B07G5XNHV6/ref=zg_bs_g_kitchen_sccl_4/258-3170600-8022730?psc=1,#4,ELECTROLUX,"Electrolux E201SM Dammsugarpåsar S-bag Classic Long Performance, 12 påsar, optimerar luftflödet med påsens tåliga syntetmaterial, lämplig för många typer av dammsugare",7 058,Size data not available,(43 betyg) 58 % positivt under de senaste 12 månaderna,"216,",Vit,Date first available data not available
4,https://www.amazon.se/mDesign-F%C3%B6rvaringsl%C3%A5da-tyg-organisation-leksaksf%C3%B6rvaring/dp/B01N0B2N3H/ref=zg_bs_g_kitchen_sccl_5/258-3170600-8022730?psc=1,#5,mDesign,"mDesign Förvaringslåda av tyg – barnrum organisation – stor låda för filtar, kläder eller leksaksförvaring – grå/kräm",32,Size data not available,4.4,Price data not available,Grå/grädde,Date first available data not available
5,https://www.amazon.se/Nakass-bestickorganisat%C3%B6r-k%C3%B6ksredskapsh%C3%A5llare-bestickbeh%C3%A5llare-k%C3%B6ksorganisat%C3%B6r/dp/B0C1HHVX1N/ref=zg_bs_g_kitchen_sccl_6/258-3170600-8022730?psc=1,#6,Nakass,"Nakass Bestickhållare av bambu, 4 delar, av trä, bestickorganisatör, köksredskapshållare för kök, bestickställ för matbord, dekoration, bestickbehållare med träbas, köksorganisatör, kökshjälp",Number of rating not available,Size data not available,,Price data not available,Color not available,Date first available data not available
6,https://www.amazon.se/YAOYAO-20-kylsk%C3%A5psmagnet-goodie-v%C3%A4ska-f%C3%B6delsedagsfest/dp/B0C2GXTCH5/ref=zg_bs_g_kitchen_sccl_7/258-3170600-8022730?psc=1,#7,YAOYAO,YAOYAO 20 st kylskåpsmagnet goodie-väska stoppare semester för barn födelsedagsfest presenter skola karneval belöning priser dekoration tillbehör,Number of rating not available,Size data not available,,Price data not available,Color not available,Date first available data not available
7,https://www.amazon.se/AM%C3%98RE-k%C3%B6kstillbeh%C3%B6r-K%C3%B6ksbestick-k%C3%B6kshj%C3%A4lpmedel-serveringsbestick/dp/B0BLC44YK5/ref=zg_bs_g_kitchen_sccl_8/258-3170600-8022730?psc=1,#8,AMØRE MIO,"AMØRE MIO® Ekologiska kökstillbehör (set om 2, 33 cm) | Köksbestick av 100 % hållbart trä | rostfritt stål | stekspade set kökshjälpmedel köksredskap serveringsbestick",39,Size data not available,4.4,"133,",Brun med naturlig trämått (små färgavvikelser möjliga),Date first available data not available
8,https://www.amazon.se/Borstf%C3%A4ste-borrmaskin-borstf%C3%A4ste-reng%C3%B6ringsborste-reng%C3%B6ringssats/dp/B09P5965VC/ref=zg_bs_g_kitchen_sccl_9/258-3170600-8022730?psc=1,#9,Aokyom,"Borstfäste för borrmaskin, set med 8 stycken, borstfäste för borr, rengöringsborste, Power Scrubber rengöringssats, fälgborste, set för fälgar, kakel, kök, golv, badkar, blå",771,8PCS-Giallo,4.3,"209,",Color not available,Date first available data not available
9,https://www.amazon.se/bakpl%C3%A5tspapper-luftfrit%C3%B6s-eng%C3%A5ngspappersinsats-baktillbeh%C3%B6r-mikrov%C3%A5gsugn/dp/B0B14Q5VVK/ref=zg_bs_g_kitchen_sccl_10/258-3170600-8022730?psc=1,#10,JOSPL,"Jospl 100 stycken bakplåtspapper airfryer, luftfritös bakplåtspapper airfryer, non-stick, engångspappersinsats, baktillbehör, bakpapper, baktillbehör, bakplåtspapper av papper, för ugn, mikrovågsugn (17 x 4,5 cm)",459,Size data not available,4.4,"110,",Color not available,Date first available data not available
10,https://www.amazon.se/Oljespruta-matlagning-Oljedispenser-oljespridare-matlagningsspruta/dp/B09HY5THQD/ref=zg_bs_g_kitchen_sccl_11/258-3170600-8022730?psc=1,#11,ActivoTex,"Oljespruta Spray, olja, matlagning Olja, spray, spruta för olivolja och citron Oljedispenser, oljespridare Spray, vinäger, matlagningsspruta",6 590,Size data not available,4.3,"144,",Vit,Date first available data not available
11,https://www.amazon.se/PandaEar-Pedagogiska-matskeden-babyskedar-barnbestick/dp/B095S4V88J/ref=zg_bs_g_kitchen_sccl_12/258-3170600-8022730?psc=1,#12,PandaEar,"PandaEar Pedagogiska skedar för baby, 4-pack, första matskeden, babyskedar, silikon, matskedar, mjuka, flexibla barnbestick, BPA-fria för spädbarn, barn, småbarn, från 4 månader",413,Size data not available,4.5,"83,",Color not available,Date first available data not available
12,https://www.amazon.se/Flamen-termometer-mattermometer-bakgrundsbelysning-djupfrying/dp/B0BXDFTGRC/ref=zg_bs_g_kitchen_sccl_13/258-3170600-8022730?psc=1,#13,Flamen,"Flamen Meat termometer, mattermometer med bakgrundsbelysning, vattentät omedelbar läsning, digital meat termometer för kök, djupfrying, bakning, turkisk, BBQ – svart",Number of rating not available,Size data not available,,Price data not available,Color not available,Date first available data not available
13,https://www.amazon.se/DaiWeier-blandningssk%C3%A5lar-multifunktionell-metallsk%C3%A5l-matf%C3%B6rvaring/dp/B08H4P6NQH/ref=zg_bs_g_kitchen_sccl_14/258-3170600-8022730?psc=1,#14,DaiWeier,"DaiWeier 7 st premium blandningsskålar i rostfritt stål med lufttäta lock, multifunktionell metallskål stapelbar för bekväm förvaring, för matlagning, bakning och matförvaring",26,Size data not available,& GRATIS leverans,"315,",Silver,Date first available data not available
14,https://www.amazon.se/MEckily-Upps%C3%A4ttning-24-kryddglas-shaker-insatstoppar/dp/B07NV4KSV4/ref=zg_bs_g_kitchen_sccl_15/258-3170600-8022730?psc=1,#15,MEckily,"MEckily Uppsättning av 24 kryddglas – kryddburkar fyrkantiga glasbehållare kapacitet 120 ml, 10,5 x 4,3 cm lufttät lock, tavla och transparent etikett, shaker-insatstoppar och bred tratt",3 546,24 EU,(2 betyg) 100 % positivt under de senaste 12 månaderna,"189,",Silver,Date first available data not available
15,https://www.amazon.se/DOQAUS-K%C3%B6tttermometer-Matlagningstermometer-Grilltermometer-Bakgrundsbelysning/dp/B07WKKS4HB/ref=zg_bs_g_kitchen_sccl_16/258-3170600-8022730?psc=1,#16,DOQAUS,"DOQAUS Kötttermometer Digital, 3s omedelbar läsning Matlagningstermometer, Vikbar Sond Grilltermometer med Hög Noggrannhet, Bakgrundsbelysning LCD-skärm, Automatisk på/av för Kök, Grill, Mjölk (svart)",39 408,Size data not available,4.5,"139,",Svart,Date first available data not available
16,https://www.amazon.se/Bosch-kaffekvarn-rostfritt-kapacitet-str%C3%B6mbrytare/dp/B07HPJLZB2/ref=zg_bs_g_kitchen_sccl_17/258-3170600-8022730?psc=1,#17,Bosch,"Bosch kaffekvarn med knivblad av rostfritt stål och kapacitet på 75 gram, inbyggd säkerhets strömbrytare, vit",11 314,Size data not available,(2 betyg) 100 % positivt under livslängden,"232,",Vit,Date first available data not available
17,https://www.amazon.se/Scrub-Daddy-Damp-Duster-gul/dp/B09GNTLRFV/ref=zg_bs_g_kitchen_sccl_18/258-3170600-8022730?psc=1,#18,Scrub Daddy,Scrub Daddy Damp Duster – gul,822,Size data not available,4.6,"63,",GUL,Date first available data not available
18,https://www.amazon.se/Philips-Br%C3%B6drost-Uppv%C3%A4rmningsst%C3%A4ll-Upptiningsfunktion-Upplyftningsfunktion/dp/B01N9XBDTI/ref=zg_bs_g_kitchen_sccl_19/258-3170600-8022730?psc=1,#19,PHILIPS,"Philips Brödrost - 2 Fack, 8 Inställningar, Uppvärmningsställ, Upptiningsfunktion, Upplyftningsfunktion, Automatisk Avstängning, Svart (HD2581/90)",40 418,Size data not available,4.5,"317,",Svart,Date first available data not available
19,https://www.amazon.se/Utopia-Home-50-pack-sammetsh%C3%A4ngare-slipst%C3%A5ng/dp/B077BMY1KZ/ref=zg_bs_g_kitchen_sccl_20/258-3170600-8022730?psc=1,#20,Utopia Home,"Utopia Home [50-pack] Premium sammetshängare med slipstång – slitstark – smal & halkfri – sammetsdräktshängare, klädhängare (Svart)",11 623,Size data not available,4.7,"244,",Svart,Date first available data not available
20,https://www.amazon.se/GoMaihe-f%C3%B6rvaringsburkar-f%C3%B6rvaringsl%C3%A5da-k%C3%B6ksorganisat%C3%B6r-f%C3%B6rvaringsbeh%C3%A5llare/dp/B09DFQ1WXM/ref=zg_bs_g_kitchen_sccl_21/258-3170600-8022730?psc=1,#21,GoMaihe,"GoMaihe förvaringsburkar, set om 25, förvaringslåda, köksorganisatör, lufttät förvaringsbehållare plast med lock, förvaringsburk för müsli, mjöl, kaffebönor, majsflingor, spaghetti, förvaring, 2,8/2/1,4/0,8 liter",9 521,25 Set,4.7,"489,",Color not available,Date first available data not available
21,https://www.amazon.se/SDXYSTCE-v%C3%A4ggspegel-dekorativ-cirkelspegel-vardagsrum/dp/B0BXX78QVY/ref=zg_bs_g_kitchen_sccl_22/258-3170600-8022730?psc=1,#22,SDXYSTCE,"SDXYSTCE SUPPNEED Rund väggspegel, dekorativ cirkelspegel, diameter 50 cm, metallram, för vardagsrum, sovrum, badrum, hall, guld",Number of rating not available,Size data not available,,Price data not available,Guld,Date first available data not available
22,https://www.amazon.se/MOLINO-MILLS-Magnetiskt-knivblock-Knivblock-tillverkat/dp/B0B3XV7GST/ref=zg_bs_g_kitchen_sccl_23/258-3170600-8022730?psc=1,#23,Molino-Mills,MOLINO-MILLS Magnetiskt knivblock | Knivblock utan knivar tillverkat av massivt trä | Magnetiskt knivblock | starkt och pålitligt grepp | Knivbräda magnetisk (bambu) (Bambu),38,Size data not available,4.5,Price data not available,Color not available,Date first available data not available
23,https://www.amazon.se/Gr%C3%B6nsakshackare-l%C3%B6khackare-mathackare-bruksanvisning-gr%C3%B6nsaksstrimmlare/dp/B0764HS4SL/ref=zg_bs_g_kitchen_sccl_24/258-3170600-8022730?psc=1,#24,fullstar,"Grönsakshackare, lökhackare, mathackare, bruksanvisning - 4 blad, spiraliserare, grönsaksskivare, lökskärare med behållare - matskivare, grönsakshackare, bruksanvisning, lökskivare, tärnare, grönsaksskärare grönsaksstrimmlare",119 585,Size data not available,4.5,"249,",Vit,Date first available data not available
24,https://www.amazon.se/Bakpl%C3%A5tspapper-Luftfrit%C3%B6s-Pergamentpapper-Vattent%C3%A4tt-Mikrov%C3%A5gsugn/dp/B09YNK1Y9J/ref=zg_bs_g_kitchen_sccl_25/258-3170600-8022730?psc=1,#25,Fuwnvuwn,"Airfryer Tillbehör Bakplåtspapper Luftfritös Pergamentpapper 120st Fyrkant Engångs Bakplåtspapper Airfryer Oljetätt,Vattentätt, för Stekpanna ugn Mikrovågsugn Varm Luftfritös Papper, 7.9in",1 395,120PCS-20cm / Square,4.3,"179,",Color not available,Date first available data not available
25,https://www.amazon.se/Spacekeeper-f%C3%B6rvaringshylla-diskb%C3%A4nken-utdragbar-multifunktionell-f%C3%B6rvaring/dp/B09TT8PLXZ/ref=zg_bs_g_kitchen_sccl_26/258-3170600-8022730?psc=1,#26,SPACEKEEPER,"Spacekeeper-förvaringshylla under diskbänken, 2 nivåer, utdragbar korg/låda, multifunktionell smal förvaring för kök och badrum, utdragbar korg i botten, 40 x 22 x 31 cm, svart",4 036,Size data not available,4.4,"199,",Svart,Date first available data not available
26,https://www.amazon.se/ZIP-p%C3%A5sar-tryckf%C3%B6rslutning-f%C3%B6rslutningsp%C3%A5se-%C3%A5terf%C3%B6rslutningsbar-storlekar/dp/B07NCYDP4L/ref=zg_bs_g_kitchen_sccl_27/258-3170600-8022730?psc=1,#27,TM Maxx,"100 stycken ZIP-påsar med tryckförslutning, polypåse, påse, förslutningspåse, hölje, återförslutningsbar (40 storlekar att välja mellan)",1 649,5x7,Ny säljare,"39,",Färglös,Date first available data not available
27,https://www.amazon.se/Severin-3590-Mj%C3%B6lkskummare-Svart-Storlek/dp/B009MP7VY2/ref=zg_bs_g_kitchen_sccl_28/258-3170600-8022730?psc=1,#28,Severin,"Severin SM 3590 Mjölkskummare, Svart, En Storlek",10 349,Size data not available,(9 betyg) 67 % positivt under livslängden,"113,",Svart,Date first available data not available
28,https://www.amazon.se/Bialetti-Induction-Italiensk-Kaffebryggare-Spish%C3%A4llar/dp/B07ZKZXM4B/ref=zg_bs_g_kitchen_sccl_29/258-3170600-8022730?psc=1,#29,Bialetti,"Bialetti – Nya Venus Induction: Italiensk Kaffebryggare För Espresso I Rostfritt Stål, Passar För Alla Typer Av Spishällar, 6 Koppar (270 Ml), Aluminium, Silver        [Energiklass A+]",6 940,Size data not available,4.6,"400,",White,Date first available data not available
29,https://www.amazon.se/Container-iskuber-BPA-fri-LFGB-certifierad-stapelbar/dp/B09ZL7GPW3/ref=zg_bs_g_kitchen_sccl_30/258-3170600-8022730?psc=1,#30,Lonnalee,"Ice Cubes Tray 2 Pack, Ice Cubes Container med lock, 33 iskuber, lätt att lossa Ice Cube Tray, BPA-fri och LFGB-certifierad, lufttät stapelbar för frysen, öl, whiskey (Blue)",8,Size data not available,3.2,"75,",2 Pack Blue,Date first available data not available
30,https://www.amazon.se/BRITA-Maxtra-1022214-Vattenfilter-stycken/dp/B06XYG1P2G/ref=zg_bs_g_kitchen_sccl_1/258-3170600-8022730?psc=1,#51,BRITA,"BRITA Maxtra+ 1022214 Vattenfilter, Grå, 6 stycken",32 116,6 stycken,(1 betyg) 0 % positivt under de senaste 12 månaderna,"332,",Color not available,Date first available data not available
31,https://www.amazon.se/Bialetti-Express-Espressobryggare-Aluminium-Koppar/dp/B00004RFRU/ref=zg_bs_g_kitchen_sccl_2/258-3170600-8022730?psc=1,#52,Bialetti,"Bialetti Moka Express Espressobryggare, Aluminium, Grå, 6 Koppar        [Energiklass A]",70 685,6 koppar,(1 betyg) 100 % positivt under de senaste 12 månaderna,"335,",Silver,Date first available data not available
32,https://www.amazon.se/Utopia-Bedding-dra-p%C3%A5-lakan-borstad-mikrofiber/dp/B0762Q7YM8/ref=zg_bs_g_kitchen_sccl_3/258-3170600-8022730?psc=1,#53,Utopia Bedding,"Utopia Bedding dra-på-lakan – djup ficka 35 cm (14 tum) – borstad mikrofiber (Vit, 180x200 cm)",1 895,Size data not available,4.5,"172,",Vit,Date first available data not available
