,product url,ranking,brand,product name,number of ratings,size,star rating,price(in sek),color,date first available
0,https://www.amazon.se/ACE2ACE-Borttagningsrulle-Ateranv%C3%A4ndbar-Djurh%C3%A5rborttagning-Husdjursp%C3%A4lsen/dp/B0819XVK92/ref=zg_bs_g_pet-supplies_sccl_1/258-2527039-1537616?psc=1,#1,ACE2ACE,"ACE2ACE Borttagningsrulle för Husdjurshår, Ateranvändbar Borste för Djurhårborttagning för Hundar och Katter, Lätt att Självrengöra Husdjurspälsen från Matta, Möbler, Kläder och Sängkläder, Soffa",71 512,Size data not available,Star rating data not available,"167,",Blå,Date first available data not available
1,https://www.amazon.se/Biokats-Diamond-Care-Fresh-babypuder/dp/B07CPK4T22/ref=zg_bs_g_pet-supplies_sccl_2/258-2527039-1537616?psc=1,#2,Biokat's,Biokat's Diamond Care Fresh med doft av babypuder - Fint kattströ med aktivt kol och aloe vera - 1 säck (1 x 10 l),15 357,Size data not available,Star rating data not available,"126,",Color not available,Date first available data not available
2,https://www.amazon.se/Ever-Clean-Lavender-Clumping-parfymerad/dp/B00V7XP6AS/ref=zg_bs_g_pet-supplies_sccl_3/258-2527039-1537616?psc=1,#3,Ever Clean,"Ever Clean Lavender Clumping kattsand, 10 l, parfymerad",1 800,Size data not available,Star rating data not available,"239,",Color not available,Date first available data not available
3,https://www.amazon.se/Kaytee-100520270-Clean-Superabsorberande-Papperss%C3%A4ngkl%C3%A4der/dp/B00U7LCKZ0/ref=zg_bs_g_pet-supplies_sccl_4/258-2527039-1537616?psc=1,#4,Kaytee,"Kaytee 100520270 Clean & Cozy Superabsorberande Papperssängkläder för Burar, 85 L, Vit",36 934,85 L,Star rating data not available,"344,",Vit,Date first available data not available
4,https://www.amazon.se/LED-kattleksak-7-i-1-funktion-USB-uppladdningsbar-LED-ljusleksak-tr%C3%A4ningsverktyg/dp/B09NKXYHTV/ref=zg_bs_g_pet-supplies_sccl_5/258-2527039-1537616?psc=1,#5,vsshe,"VSSHE Cat Pointer, 2 ST Interaktiv LED-kattleksak 7-i-1-funktion (Ficklampa + 5 justerbart mönster + UV-ljus), USB-uppladdningsbar röd LED-ljusleksak för träningsverktyg för katthundar (1 ST, Röd)",3 741,1 ST,Star rating data not available,"99,",Röd,Date first available data not available
5,https://www.amazon.se/AmazonBasics-Avfallsp%C3%A5sar-Dispenser-Kl%C3%A4mma-Stycken/dp/B00NABTGY2/ref=zg_bs_g_pet-supplies_sccl_6/258-2527039-1537616?psc=1,#6,AmazonBasics,AmazonBasics Hund Avfallspåsar med Påse Dispenser och Koppel Klämma- 900 Stycken,171 418,900,Star rating data not available,"229,",Svart,Date first available data not available
6,https://www.amazon.se/Bedsure-Medium-ortopedisk-hunds%C3%A4ng-Viskoelastisk/dp/B08NC3ZLCN/ref=zg_bs_g_pet-supplies_sccl_7/258-2527039-1537616?psc=1,#7,Bedsure,"Bedsure Medium ortopedisk hundsäng - Viskoelastisk och tvättbar hundsoffa, hundmadrass med avtagbart lock och vattentätt foder, grå, 71x58x18cm",8 857,71x58x18cm,Star rating data not available,"364,",GRÅ,Date first available data not available
7,https://www.amazon.se/morpilot-Kattb%C3%A4rarryggs%C3%A4ck-hopf%C3%A4llbar-djurb%C3%A4rarryggs%C3%A4ck-s%C3%A4kerhetsrem/dp/B084ZHWM3V/ref=zg_bs_g_pet-supplies_sccl_8/258-2527039-1537616?psc=1,#8,morpilot,"morpilot Kattbärarryggsäck, hopfällbar djurbärarryggsäck för katter och små hundar, ryggsäck för hund med ventilerad design inre säkerhetsrem, väska för valp för resor camping vandring",5 604,Size data not available,Star rating data not available,"382,",Blå,Date first available data not available
8,https://www.amazon.se/Wiltec-kattr%C3%A4d-gr%C3%A5tt-utsiktsplattformar-katthus/dp/B07TCHZMTV/ref=zg_bs_g_pet-supplies_sccl_9/258-2527039-1537616?psc=1,#9,Wiltec,"Wiltec katträd grått 170 cm med utsiktsplattformar, katthus och stege",171,Size data not available,Star rating data not available,"572,",Color not available,Date first available data not available
9,https://www.amazon.se/Juwel-Aquarium-Biopad-Dynor-Filter/dp/B000G04LWM/ref=zg_bs_g_pet-supplies_sccl_10/258-2527039-1537616?psc=1,#10,Juwel Aquarium,"Juwel Aquarium Biopad Dynor för Filter, Vit, M, Paket med 5",6 403,"M, Paket med 5",Star rating data not available,"29,",Color not available,Date first available data not available
10,https://www.amazon.se/Pieviev-Kattsandsmatta-sandbricka-dubbellager-EVA-material/dp/B07WRYBYN3/ref=zg_bs_g_pet-supplies_sccl_11/258-2527039-1537616?psc=1,#11,Pieviev,"Pieviev Kattsandsmatta sandbricka matta i stor storlek dubbellager vaxkaka stora hål design vattentätt EVA-material BPA-fritt, mjukt mot tassar och tvättbar (61 x 38 cm, svart)",21 073,61X38cm,Star rating data not available,"139,",Svart,Date first available data not available
11,https://www.amazon.se/PEDIGREE-Vital-Protection-V%C3%A5tfoder-Hundar/dp/B077MFGQ2D/ref=zg_bs_g_pet-supplies_sccl_12/258-2527039-1537616?psc=1,#12,PEDIGREE,"PEDIGREE Vital Protection Våtfoder för Vuxna Hundar, 40 x 100 g",16 645,40 x 100 g,Star rating data not available,"152,",Color not available,Date first available data not available
12,https://www.amazon.se/hygger-Akvariebelysning-LED-belysning-soluppg%C3%A5ng-tidsinst%C3%A4llning/dp/B091KB6QVG/ref=zg_bs_g_pet-supplies_sccl_13/258-2527039-1537616?psc=1,#13,hygger,"hygger Akvariebelysning, akvarium LED-belysning, 24/7 läge för soluppgång, dagsljus, månljus, justerbar tidsinställning, justerbar ljusstyrka, med utdragbar hållare, 7 färger",735,14W für 30-45 cm Aquarien,Star rating data not available,"335,",Flerfärgade,Date first available data not available
13,https://www.amazon.se/Pogis-sk%C3%B6tseltorkdukar-allergiv%C3%A4nliga-husdjurstorkar-deodoriserande/dp/B07C1SPF3B/ref=zg_bs_g_pet-supplies_sccl_14/258-2527039-1537616?psc=1,#14,Pogi's Pet Supplies,"Pogi's skötseltorkdukar – 240 olika resepaket – allergivänliga husdjurstorkar för hundar och katter – biologiskt nedbrytbar, doft av grönt te, deodoriserande hundtorkdukar",22 005,240-Count Travel Pack,,"199,",Color not available,Date first available data not available
14,https://www.amazon.se/PAKEWAY-hundborste-kroppsv%C3%A5rd-sj%C3%A4lvreng%C3%B6rande-massagekammar/dp/B088WZLZYX/ref=zg_bs_g_pet-supplies_sccl_15/258-2527039-1537616?psc=1,#15,PAKEWAY,"PAKEWAY Katt- och hundborste för kroppsvård, kattunge, borste, självrengörande fällborste för husdjur, massagekammar för katter och hundar med kort, medium och långt hår",6 148,Size data not available,Star rating data not available,"104,",Grön,Date first available data not available
15,https://www.amazon.se/TOMXCUTE-Ers%C3%A4ttningsfilter-vattenfont%C3%A4n-kolfilter-svampar/dp/B09DPP6P8X/ref=zg_bs_g_pet-supplies_sccl_16/258-2527039-1537616?psc=1,#16,tomxcute,TOMXCUTE Ersättningsfilter till vattenfontän 8 kolfilter och 8 svampar,3 559,Size data not available,Star rating data not available,"180,",Svart / vit,Date first available data not available
16,https://www.amazon.se/Biokat%CA%BCs-Classic-fresh-Cotton-Blossom-doft/dp/B06XTKC8ML/ref=zg_bs_g_pet-supplies_sccl_17/258-2527039-1537616?psc=1,#17,Biokat's,Biokatʼs Classic fresh 3-i-1 med Cotton Blossom-doft - Klumpbildande kattströ med tre olika kornstorlekar - 1 säck (1 x 10 l),948,Size data not available,Star rating data not available,"86,",Color not available,Date first available data not available
17,https://www.amazon.se/TRIXIE-Capri-Kattbur-Vit-Gr%C3%A5/dp/B000OLZFC8/ref=zg_bs_g_pet-supplies_sccl_18/258-2527039-1537616?psc=1,#18,TRIXIE,"TRIXIE Capri 1 Kattbur, Vit, Grå, 31 x 32 x 48 cm",13 798,Size data not available,Star rating data not available,"171,","Vit, Grå",Date first available data not available
18,https://www.amazon.se/Littycat-Avfallsbeh%C3%A5llare-Kattsand-Spade-Kattsandshink/dp/B08DP34VS8/ref=zg_bs_g_pet-supplies_sccl_19/258-2527039-1537616?psc=1,#19,Littycat,Littycat Avfallsbehållare för Kattsand med Spade – Kattsandshink,23,Katzenstreueimer + 1 Nachfüllkassette,Star rating data not available,"299,",Vitt-grått,Date first available data not available
