,product url,ranking,brand,product name,number of ratings,size,star rating,price(in sek),color,date first available
0,https://www.amazon.se/Apple-MX542DN-A-AirTag-4-pack/dp/B0B2PZ994V/ref=zg_bs_g_sports_sccl_1/259-1919735-2183020?psc=1,#1,Apple,Apple AirTag 4-pack ​​​​​​​,149,4-pack,4.6,"1 365,",Vit,Date first available data not available
1,https://www.amazon.se/Angel-Shield-Campingtoalett-separationstoalett-komposttoalett/dp/B0BLVM4M3G/ref=zg_bs_g_sports_sccl_2/259-1919735-2183020?psc=1,#2,Angel Shield,Angel Shield Campingtoalett vikbar torr separationstoalett camping utomhus toaletter toalett toalett separat toalett reselåda mobil nödsituation toalett komposttoalett för resor,34,Size data not available,4.7,"939,",Svart,Date first available data not available
2,https://www.amazon.se/Sporthandduken-Strandhandduk-Resehandduk-Mikrofiber-Resebadlakan/dp/B01M5D34AW/ref=zg_bs_g_sports_sccl_3/259-1919735-2183020?psc=1,#3,Fit-Flip,"Sporthandduken, XXL Strandhandduk, Resehandduk, Mikrofiber handdukar, Resebadlakan (100x200cm mörkgrå)",24 135,Size data not available,4.5,"239,",Mörkgrå,Date first available data not available
3,https://www.amazon.se/Super-Sparrow-Sport-Vattenflaska-Co-polyesterplast/dp/B07BJFRPVM/ref=zg_bs_g_sports_sccl_4/259-1919735-2183020?psc=1,#4,Super Sparrow,"Super Sparrow Sport Vattenflaska - 1000ml - Giftfri BPA-Fri och Miljövänlig Tritan Co-polyesterplast - för Löpning, Gym, Yoga, Utomhus och Camping",36 382,Size data not available,4.7,"189,",Mate- Blåbär,Date first available data not available
4,https://www.amazon.se/Myforest-drickflaska-tidsmarkeringar-vattenflaska-kolsyrade/dp/B09NFQG1VV/ref=zg_bs_g_sports_sccl_5/259-1919735-2183020?psc=1,#5,MYFOREST,"Myforest BPA-fri drickflaska på 1 liter, med sugrör och tidsmarkeringar, 1 000 ml vattenflaska för cykel, camping, yoga, gym, barn, lämplig för kolsyrade drycker",2 495,Size data not available,4.6,"189,",Rosa/blå,Date first available data not available
5,https://www.amazon.se/THKFISH-fisketillbeh%C3%B6rsset-dropshot-s%C3%A4nke-dropshot-rigg-smal-designade/dp/B07LG33Y1Z/ref=zg_bs_g_sports_sccl_6/259-1919735-2183020?psc=1,#6,THKFISH,THKFISH Fisketillbehör set vikter fiske sjunker fiske drop shot vikter fiskevikter kit drop shot rigg galen offset krok rullande virvel fiske snappar 28 stycken 103 stycken,2 253,Size data not available,4.4,"127,",A-smal utformad vikter 28 stycken,Date first available data not available
6,https://www.amazon.se/Intex-64755-Uppbl%C3%A5sbar-S%C3%A4ng-203/dp/B07LGVS2TG/ref=zg_bs_g_sports_sccl_7/259-1919735-2183020?psc=1,#7,Intex,"Intex 64755 Uppblåsbar Säng, 203 x 183 x 25 cm, Blå",9 229,203 x 183 x 25 cm,4.3,"438,",Blå,Date first available data not available
7,https://www.amazon.se/JIMACRO-Vattenflaska-vattenflaska-Vattenintagsflaska-Tidsmarkeringssp%C3%A5rare/dp/B08TVHFDHT/ref=zg_bs_g_sports_sccl_8/259-1919735-2183020?psc=1,#8,JIMACRO,"JIMACRO Vattenflaska, 1 Liter vattenflaska med Sugrör och Handtag BPA-Fri, Dagligt Vattenintagsflaska med Tidsmarkeringsspårare för Att Påminna om Drickstiden, Idealisk för Hydrering på Gymkontoret",2 614,Size data not available,4.5,"289,",Vit,Date first available data not available
8,https://www.amazon.se/noair-Ventilationssats-Shimano-skivbromsar-ventilationsset/dp/B0B1QSQYCT/ref=zg_bs_g_sports_sccl_9/259-1919735-2183020?psc=1,#9,noair,noair Ventilationssats för Shimano skivbromsar – ventilationsset inklusive mineralolja/bromsvätska – för cykelbromsar,167,Size data not available,Fara,"195,",Color not available,Date first available data not available
9,https://www.amazon.se/Topps-Match-Attax-Fotbollskort-samlarkort/dp/B0B7BP5354/ref=zg_bs_g_sports_sccl_10/259-1919735-2183020?psc=1,#10,Topps,Topps Match Attax 22/23 - UEFA Champions League Fotbollskort | Mega Tin - Underbarn (70 samlarkort inklusive 4 exklusiva Master Limited Edition),163,Size data not available,4.6,"163,",Mega Tin | Wonderkids,Date first available data not available
